bread,,,,,,,,,,,
bread_knife,,,,,,,,,,,
bread_plate,,,,,,,,,,,
fork,fork,,,,,,,,,,
knife,knife,,,,,,,,,,
pepper_shaker,,,,,,,,,,,
plate,plate,blue_plate,grey_plate,square_plate_1,square_plate_2,square_plate_3,square_plate_4,round_plate_1,round_plate_2,round_plate_3,round_plate_4
salad_plate,,,,,,,,,,,
salt_shaker,,,,,,,,,,,
soup_bowl,bowl,yellow_bowl,green_bowl,doraemon_bowl,,,,,,,
spoon,spoon,,,,,,,,,,
water_glass,,,,,,,,,,,
wine,,,,,,,,,,,
wine_glass,,,,,,,,,,,
book,book_1,book_2,book_3,book_4,book_5,book_6,,,,,
calander,,,,,,,,,,,
coffee,,,,,,,,,,,
flower_pot,,,,,,,,,,,
laptop,,,,,,,,,,,
mugcup,mug,,,,,,,,,,
pen,red_marker,black_marker,blue_marker,large_marker,small_marker,,,,,,
pen_stand,pen_container_1,,,,,,,,,,
scissors,scissors,,,,,,,,,,
stand,,,,,,,,,,,
table_clock,,,,,,,,,,,
tabletop_bookshelf,book_holder_1,book_holder_2,book_holder_3,,,,,,,,
tissue_box,clear_box,clear_box_1,clear_box_2,,,,,,,,
tumbler,,,,,,,,,,,
driver,flat_screwdriver,phillips_screwdriver,,,,,,,,,
duct_tape,,,,,,,,,,,
hammer,two_color_hammer,mini_claw_hammer_1,,,,,,,,,
pliers,,,,,,,,,,,
power_drill,power_drill,,,,,,,,,,
spring_clamp,small_clamp,medium_clamp,large_clamp,extra_large_clamp,,,,,,,
tape_measure,,,,,,,,,,,
wrench,,,,,,,,,,,
apple,plastic_apple,,,,,,,,,,
bowl,bowl,yellow_bowl,green_bowl,doraemon_bowl,,,,,,,
magazine,,,,,,,,,,,
saucer,,,,,,,,,,,
tea_pot,,,,,,,,,,,
tea_spoon,,,,,,,,,,,
teacup,,,,,,,,,,,
vase,,,,,,,,,,,
wood_tray,,,,,,,,,,,
